,name,station_category,metro_longitude,metro_latitude
162,S Köllnische Heide,5.0,13.4679658,52.46964570000001
163,S Neukölln,4.0,13.4437571,52.4695134
164,S Oberspree,6.0,13.538075,52.4524146
165,S Plänterwald,4.0,13.473239499999998,52.4785887
166,S Sonnenallee,4.0,13.4556896,52.4729807
167,Berlin-Schöneweide,3.0,13.5092508,52.4548738
168,S Warschauer Straße,4.0,13.4501205,52.50636850000001
169,S Greifswalder Straße,4.0,13.4389887,52.54024620000001
170,U Seestraße,,13.3531176,52.5498029
171,U Leopoldplatz,,13.3591672,52.5463833
172,S Hermannstraße,4.0,13.4312408,52.4676341
173,S Bundesplatz,4.0,13.3295474,52.477658
174,U Frankfurter Allee,,13.4754364,52.513622700000006
175,S Charlottenburg,3.0,13.304516199999998,52.50504839999999
176,S Schichauweg,5.0,13.389393099999998,52.3985425
177,U Voltastraße,,13.392876,52.54228979999999
178,U Moritzplatz,,13.4107479,52.5036623
179,U Schönleinstraße,,13.4220572,52.4930552
180,S Lichterfelde Ost,3.0,13.3280815,52.4298633
181,U Boddinstraße,,13.425281,52.48016850000001
182,U Leinestraße,,13.4283545,52.4729787
183,U Strausberger Platz,,13.4315264,52.5180981
184,U Dahlem-Dorf,,13.2897049,52.45740960000001
185,U Weberwiese,,13.4447135,52.5167465
186,U Grenzallee,,13.4447716,52.46288249999999
187,U Rehberge,,13.3409843,52.5566893
188,S Anhalter Bahnhof,3.0,13.3814763,52.50357879999999
189,S Potsdamer Platz,2.0,13.3766399,52.50940350000001
190,"U Hallesches Tor (U1, U3)",,13.390649599999998,52.4977596
191,U Potsdamer Platz,,13.3782147,52.5091586
192,Berlin Hauptbahnhof,1.0,13.3696614,52.5249451
193,S Hauptbahnhof,1.0,13.3693321,52.5251951
194,U Hauptbahnhof,,13.3701242,52.5252819
195,U Britz-Süd,,13.448186800000002,52.43779179999999
196,U Johannisthaler Chaussee,,13.4533376,52.4293213
197,U Lipschitzallee,,13.4626984,52.4246425
198,U Rudow,,13.4953978,52.41617
199,U Zwickauer Damm,,13.483940300000002,52.4233803
200,S Lichtenrade,5.0,13.3959241,52.388567
201,U Afrikanische Straße,,13.334617800000002,52.5602382
202,U Kurt-Schumacher-Platz,,13.327129,52.5632274
203,U Scharnweberstraße,,13.312621900000002,52.5668172
204,U Otisstraße,,13.3029254,52.5710338
205,U Holzhauser Straße,,13.2961132,52.575692
206,U Borsigwerke,,13.2905918,52.5818407
207,U Brandenburger Tor,,13.3809897,52.5166047
208,U Neukölln,,13.441820300000002,52.4685956
209,S Kaulsdorf,4.0,13.5901922,52.5121351
210,S Hackescher Markt,4.0,13.4023418,52.5226808
211,U Weinmeisterstraße,,13.405019400000002,52.5254666
212,S Friedrichstraße,2.0,13.3868236,52.52049670000001
213,U Friedrichstraße,,13.3882862,52.5202635
214,U Mohrenstraße,,13.3850915,52.5117915
215,U Warschauer Straße,,13.4490065,52.505014
216,U Krumme Lanke,,13.2413921,52.44344810000001
217,S Landsberger Allee,4.0,13.4547803,52.529482
218,S Friedenau,4.0,13.3415003,52.4707164
219,U Görlitzer Bahnhof,,13.428035500000002,52.4992628
220,U Klosterstraße,,13.4124323,52.51723470000001
221,U Schillingstraße,,13.4211125,52.52079000000001
222,U Frankfurter Tor,,13.4539745,52.515818
223,U Schlesisches Tor,,13.4414625,52.5008341
224,S Westhafen,4.0,13.3444152,52.53627679999999
225,U Westhafen,,13.3425741,52.536735
226,U Prinzenstraße,,13.40591,52.49839720000001
227,Havelspitze,,13.2218721,52.5590351
228,U Alt-Mariendorf,,13.3875138,52.4396754
229,U Platz der Luftbrücke,,13.3859508,52.4860843
230,U Paracelsus-Bad,,13.348510999999998,52.5742433
231,U Residenzstraße,,13.3604739,52.5711895
232,U Franz-Neumann-Platz,,13.3639236,52.5645392
233,S Wollankstraße,4.0,13.392362699999998,52.5651525
234,U Vinetastraße,,13.413278,52.5593248
235,U Kaiserin-Augusta-Straße,,13.384634599999998,52.4599764
236,U Westphalweg,,13.3856905,52.4462674
237,S Yorckstraße,5.0,13.372153400000002,52.4920684
238,U Kottbusser Tor,,13.4183107,52.4989853
239,U Sophie-Charlotte-Platz,,13.296330599999996,52.5109137
240,U Nollendorfplatz,,13.3537297,52.4995972
241,U Spittelmarkt,,13.4041155,52.5112959
242,U Kurfürstenstraße,,13.3619411,52.49995989999999
243,U Schwartzkopffstraße,,13.377318,52.5351574
244,S Alexanderplatz,3.0,13.4112804,52.5215661
245,U Senefelderplatz,,13.4126861,52.5323899
246,U Konstanzer Straße,,13.3090745,52.4945315
247,U Karl-Marx-Straße,,13.4393375,52.4762696
248,U Oranienburger Tor,,13.3873583,52.5255998
249,U Adenauerplatz,,13.3073226,52.50000279999999
250,U Cottbusser Platz,,13.5964015,52.5338331
251,U Kaulsdorf-Nord,,13.5889176,52.5211535
252,U Magdalenenstraße,,13.487079199999998,52.5124541
253,U Kienberg (Gärten der Welt),,13.5906369,52.5286152
254,U Nauener Platz,,13.3671696,52.5514056
255,U Mendelssohn-Bartholdy-Park,,13.3748605,52.503724
256,U Möckernbrücke (U7),,13.383123,52.4986927
257,U Pankstraße,,13.381458300000002,52.55226170000001
258,U Samariterstraße,,13.4644405,52.5147399
259,U Hönow,,13.633123,52.5384335
260,Ahrensfelde,4.0,13.5653023,52.57144520000001
261,S Ahrensfelde,4.0,13.5656581,52.5713397
262,U Bülowstraße,,13.3632209,52.4975858
263,U Hausvogteiplatz,,13.395591,52.5133502
264,U Alt-Tempelhof,,13.3856299,52.4655217
265,U Ullsteinstraße,,13.384465900000002,52.4537449
266,U Mehringdamm,,13.3886168,52.49413079999999
267,U Paradestraße,,13.3862561,52.4780189
268,U Lichtenberg,,13.4986022,52.51111510000001
269,U Onkel Toms Hütte,,13.253075199999998,52.4498912
270,U Oskar-Helene-Heim,,13.2690711,52.4503608
271,U Freie Universität (Thielplatz),,13.281744,52.45103879999999
272,U Uhlandstraße,,13.3266968,52.5028118
273,U Wittenbergplatz,,13.3430005,52.5017976
274,U Hansaplatz,,13.3420365,52.518008
275,U Birkenstraße,,13.3413533,52.5323818
276,U Blaschkoallee,,13.4492022,52.4520801
277,U Blissestraße,,13.3205449,52.48648950000001
278,U Breitenbachplatz,,13.3088711,52.4670266
279,S Zehlendorf,4.0,13.2585888,52.4310735
280,U Osloer Straße,,13.3732715,52.55715970000001
281,S Lichtenberg,2.0,13.4978129,52.5102343
282,S Biesdorf,4.0,13.555846300000002,52.5130873
283,S Osdorfer Straße,5.0,13.314249900000002,52.41887420000001
284,S Lichterfelde Süd,5.0,13.3085527,52.4099669
285,S Südende,5.0,13.3537492,52.44827900000001
286,S Rahnsdorf,5.0,13.6899776,52.4516372
287,S Wilhelmshagen,5.0,13.722328699999998,52.4384919
288,S Priesterweg,4.0,13.356253,52.45992310000001
289,S Buch,4.0,13.4916378,52.6358345
290,S Springpfuhl,4.0,13.536551800000002,52.52704
291,S Spandau,2.0,13.197452800000002,52.53477210000001
292,U Bundestag,,13.3729545,52.5201123
293,Friedrichshagen,,13.6274274,52.4440056
294,Köpenick / Luisenhain,,13.5732464,52.4459701
295,U Turmstraße,,13.341297099999998,52.5261489
296,U Siemensdamm,,13.2727638,52.5367748
297,U Tierpark,,13.5229595,52.497724100000006
298,U Alexanderplatz,,13.4139082,52.52158489999999
299,U Jungfernheide,,13.3006301,52.53078789999999
300,S Jungfernheide,4.0,13.299269,52.5304034
301,Berlin Ostkreuz (Stadtbahn-F),3.0,13.4694146,52.5028181
302,Berlin Ostkreuz (Ringbahn-F),3.0,13.4696738,52.5028779
303,U Louis-Lewin-Straße,,13.618346300000002,52.538977
304,U Hellersdorf,,13.606672,52.5366883
305,Köpenick/Lindenstraße,,13.5741149,52.4509142
306,Friedrichshagen,,13.6268854,52.4441611
307,Allende Straße,,13.5982699,52.4491678
308,U Märkisches Museum,,13.410175400000002,52.5123348
309,S Westkreuz (Stadtbahn),3.0,13.2847452,52.50102879999999
310,S Pankow,5.0,13.4103397,52.5662755
311,S Botanischer Garten,4.0,13.3071282,52.4479557
312,U Rathaus Spandau,,13.1997742,52.5351709
313,S Nöldnerplatz,5.0,13.4853253,52.5038434
314,U Kleistpark,,13.3602198,52.4903665
315,U Naturkundemuseum,,13.3824489,52.5310582
316,U Kochstraße/Checkpoint Charlie,,13.3906125,52.5060447
317,U Viktoria-Luise-Platz,,13.3431855,52.4961755
318,U Rüdesheimer Platz,,13.314415,52.4732464
319,U Podbielskiallee,,13.2957519,52.46410329999999
320,U Augsburger Straße,,13.3364644,52.5004423
321,U Heidelberger Platz,,13.3128835,52.4797961
322,U Hohenzollernplatz,,13.3247547,52.49408470000001
323,U Spichernstraße,,13.3310091,52.4964453
324,U Fehrbelliner Platz,,13.3151361,52.4905442
325,U Hermannplatz,,13.4245531,52.48628570000001
326,U Rathaus Neukölln,,13.4341793,52.4816522
327,U Parchimer Allee,,13.4495999,52.4447743
328,U Jakob-Kaiser-Platz,,13.293300899999998,52.5362794
329,U Wilmersdorfer Straße,,13.3066372,52.50667489999999
330,U Zitadelle,,13.2175358,52.537652
331,U Paulsternstraße,,13.2478176,52.5379819
332,U Halemweg,,13.2861036,52.5366262
333,U Reinickendorfer Straße,,13.3702888,52.5400429
334,U Schönhauser Allee,,13.4137114,52.5494885
335,U Karl-Bonhoeffer-Nervenklinik,,13.333503099999998,52.5786231
336,U Wittenau,,13.3347115,52.5956412
337,U Rosa-Luxemburg-Platz,,13.4104868,52.5276951
338,U Mierendorffplatz,,13.3047721,52.52634370000001
339,U Pankow,,13.4117203,52.56678
340,U Haselhorst,,13.233094199999998,52.5387183
341,U Stadtmitte (U6),,13.3898514,52.5106178
342,U Hallesches Tor (U6),,13.391712599999998,52.4990257
343,"U Möckernbrücke (U1, U3)",,13.3828981,52.4991179
344,S Ostkreuz (Ringbahn),3.0,13.4691195,52.5029812
345,Berlin-Mahlsdorf,,13.6107967,52.51189520000001
346,S Yorckstraße (Großgörschenstraße),5.0,13.367858800000002,52.4922745
347,S Friedrichstraße,2.0,13.386687900000002,52.520768
348,U Bundesplatz,,13.3285001,52.47764760000001
349,U Rohrdamm,,13.262306,52.5369951
350,U Tempelhof,,13.385629000000002,52.469568
351,U Olympia-Stadion,,13.2504479,52.5168643
352,U Heinrich-Heine-Straße,,13.4160272,52.5104484
353,U Eberswalder Straße,,13.4121769,52.5415154
354,U Bernauer Straße,,13.3966175,52.5374381
355,U Alt-Tegel,,13.2837514,52.5894565
356,U Altstadt Spandau,,13.2062573,52.53883810000001
357,U Wutzkyallee,,13.4745668,52.42332639999999
358,S Südkreuz (Nord-Süd),1.0,13.3651375,52.476214
359,Eichgestell,,13.552883,52.4597611
360,Betriebswerk,,13.5382582,52.4647137
361,Stadion,,13.5428743,52.46105670000001
362,Badesee,,13.5483594,52.4664295
363,Parkbühne,,13.5466629,52.4643313
364,Hauptbahnhof,,13.5433115,52.4579993
365,U Unter den Linden,,13.38882,52.5169884
366,U Rotes Rathaus,,13.4080828,52.51884250000001
367,Helene-Weigel-Platz,,13.5432223,52.5259174
368,Alt-Marzahn,,13.563656,52.5419167
369,Bürgerpark Marzahn,,13.5614084,52.55037779999999
370,Max-Herrmann-Straße,,13.5656677,52.5538988
371,Niemegker Straße,,13.5716551,52.56482439999999
372,Barnimplatz,,13.5745606,52.56810550000001
373,Ahrensfelde/Stadtgrenze,,13.5745043,52.5726839
374,Dingelstädter Straße,,13.5247935,52.5367462
375,Gewerbepark Georg Knorr,,13.533860699999998,52.5390302
376,Marzahner Promenade,,13.548995800000002,52.5428152
377,Freizeitforum Marzahn,,13.5571351,52.54621160000001
378,Jan-Petersen-Straße,,13.5614439,52.5473115
379,Landsberger Allee/Blumberger Damm,,13.571466699999998,52.54607220000001
380,Brodowiner Ring,,13.5783593,52.5479137
381,Betriebshof Marzahn,,13.583368099999998,52.54906010000001
382,Wuhletalstraße,,13.5681467,52.557557
383,Meeraner Straße,,13.5192642,52.52920450000001
384,Kleingartenanlage Bielefeldt,,13.5193393,52.51903470000001
385,Beilsteiner Straße,,13.530109,52.525490100000006
386,S Springpfuhl,,13.536265300000002,52.52569820000001
387,Boschpoler Straße,,13.548876000000002,52.5281475
388,Allee der Kosmonauten/Poelchaustraße,,13.5523485,52.53390690000001
389,Adersleber Weg,,13.560275099999998,52.5378678
390,Stendaler Straße/Quedlinburger Straße,,13.604318300000005,52.53914029999999
391,U Hellersdorf,,13.6052035,52.5361874
392,Nossener Straße,,13.6096731,52.5331331
393,Jenaer Straße,,13.6147012,52.5320861
394,Riesaer Straße/Louis-Lewin-Straße,,13.6215462,52.5306478
395,Riesaer Straße,,13.6239628,52.5295552
396,Hultschiner Damm/Seestraße,,13.6003929,52.4767915
397,Roseggerstraße,,13.600922699999998,52.480323
398,Erich-Baron-Weg,,13.6020116,52.48332660000001
399,Bütower Straße,,13.603911300000002,52.4859699
400,Bruchsaler Straße,,13.6061731,52.48915030000001
401,Eichenhofweg,,13.6076872,52.4912073
402,Ledebourstraße,,13.609562099999998,52.49371899999999
403,Rahnsdorfer Straße,,13.612998,52.4984007
404,Alt-Mahlsdorf,,13.6132863,52.5052493
405,Wilhelmsmühlenweg,,13.6129437,52.5082169
406,S Mahlsdorf,,13.6110829,52.5111884
407,S Marzahn,,13.542268099999998,52.5423752
408,Landsberger Chaussee/Zossener Straße,,13.5870141,52.54883810000001
409,Michendorfer Straße,,13.5871589,52.5455201
410,Alte Hellersdorfer Straße/Zossener Straße,,13.5924013,52.544802
411,Zossener Straße/Kastanienallee,,13.5986106,52.5439558
412,Stendaler Straße/Zossener Straße,,13.6034017,52.543537
413,Güterbahnhof Hermsdorf (stillgelegt),,13.3111435,52.6148529
414,U Museumsinsel,,13.398884400000002,52.5172626
415,Hallesches Tor,,13.3936398,52.4979067
