,name,tramway_longitude,tramway_latitude
151,Zingster Straße,13.4953373,52.5728631
152,Zingster Straße,13.494871,52.5723698
153,Welsestraße,13.5258916,52.5692786
154,Schalkauer Straße,13.5100149,52.5351866
155,Virchow-Klinikum,13.3395713,52.543917
156,Osram-Höfe,13.3585272,52.5538317
157,Louise-Schroeder-Platz,13.3667957,52.5570401
158,Osloer Straße/Prinzenallee,13.3837614,52.5559072
159,S Bornholmer Straße,13.3962825,52.5548293
160,Rothenbachstraße,13.4377179,52.570062
161,Erich-Weinert-Straße,13.4285619,52.5475501
162,Fröbelstraße,13.4258515,52.5419312
163,Kleingartenanlage Bielefeldt,13.5193753,52.5192733
164,U Frankfurter Tor,13.4540172,52.5153903
165,Straßmannstraße,13.4500341,52.5229542
166,U Tierpark,13.5240205,52.4967571
167,Criegernweg,13.5215203,52.5013606
168,Alt-Friedrichsfelde/Rhinstraße,13.5189935,52.5105776
169,Klinikum im Friedrichshain,13.440187,52.5241405
170,Landsberger Allee/Petersburger Straße,13.4462368,52.5259343
171,Gedenkstätte Berliner Mauer,13.3908576,52.5359069
172,S+U Alexanderplatz/Dircksenstraße,13.4117675,52.521606
173,Mollstraße/Otto-Braun-Straße,13.4194191,52.5247633
174,Hannoversche Straße,13.3869724,52.5273503
175,Kopernikusstraße/Warschauer Straße,13.4526258,52.5105842
176,Mittelheide,13.5835183,52.4629445
177,Unter den Birken,13.5886074,52.4696309
178,Wongrowitzer Steig,13.5853227,52.4669377
179,Hultschiner Damm/Seestraße,13.6003908,52.4766078
180,Roseggerstraße,13.6009475,52.480299
181,Erich-Baron-Weg,13.6017355,52.482992
182,Bütower Straße,13.6037288,52.4857014
183,S Köpenick,13.5800655,52.4593448
184,Janitzkystraße,13.5840793,52.4615755
185,S Köpenick,13.5790435,52.4582153
186,Hirtestraße,13.5844121,52.4604059
187,Mahlsdorf-Süd,13.5991443,52.4741663
188,Erich-Baron-Weg,13.602463,52.4839641
189,Eichenhofweg,13.6075883,52.4910007
190,Bruchsaler Straße,13.6064139,52.4893741
191,Ledebourstraße,13.6096147,52.4937616
192,Alt-Mahlsdorf,13.6133356,52.5051994
193,Rathenaustraße/HTW,13.5258742,52.4587748
194,Volkspark Wuhlheide,13.5172971,52.4711791
195,Hegemeisterweg,13.5204016,52.4741663
196,Marksburgstraße,13.5268378,52.4863576
197,Stechlinstraße,13.5166189,52.4819985
198,S Schöneweide,13.5105033,52.4557437
199,Pietschkerstraße,13.5079617,52.4505494
200,Sterndamm/Königsheideweg,13.5068261,52.4470965
201,Rathaus Köpenick,13.5743231,52.4453493
202,Köllnischer Platz,13.5679688,52.4448858
203,Ottomar-Geschke-Straße,13.5588281,52.4417915
204,Ottomar-Geschke-Straße,13.5594516,52.4418687
205,Guyotstraße,13.4167576,52.6053946
206,Französisch Buchholz Kirche,13.433607,52.6071269
207,Marienstraße/Pasewalker Straße,13.4315527,52.5926983
208,Pasewalker Straße/Blankenburger Weg,13.4303202,52.589266
209,Pankower Straße,13.4289088,52.5851769
210,Stiftsweg,13.4151516,52.5724332
211,Nordendstraße,13.3882452,52.5887066
212,Angerweg,13.3841175,52.5915641
213,Hauptstraße/Friedrich-Engels-Straße,13.3768119,52.5968423
214,Waldemarstraße,13.4062345,52.5908295
215,S+U Friedrichstraße,13.3884107,52.5192805
216,Am Kupfergraben,13.3953839,52.5194208
217,S Rahnsdorf,13.6929464,52.451526
218,S Friedrichshagen,13.6266712,52.4576956
219,Brösener Straße,13.6350774,52.459158
220,Fürstenwalder Damm/Müggelseedamm,13.661534,52.4498638
221,Licht- und Luftbad Müggelsee,13.6711513,52.4476458
222,Strandbad Müggelsee,13.6776394,52.4457181
223,Rahnsdorf/Waldschänke,13.685038,52.4435317
224,Fürstenwalder Damm,13.6521666,52.4524584
225,Wendenschloß,13.5885926,52.4169658
226,Wuhletalstraße,13.568045,52.5573513
227,Grabbeallee/Pastor-Niemöller-Platz,13.3983466,52.579025
228,U Eberswalder Straße,13.4116749,52.5410374
229,Greifswalder Straße/Danziger Straße,13.4325586,52.5363204
230,Greifswalder Straße/Danziger Straße,13.4335857,52.5359594
231,Greifswalder Straße/Danziger Straße,13.4327418,52.5358897
232,Greifswalder Straße/Danziger Straße,13.4334045,52.5364975
233,Arnswalder Platz,13.4377292,52.5339695
234,Kniprodestraße/Danziger Straße,13.4407002,52.532541
235,Landsberger Allee/Petersburger Straße,13.4469945,52.5270595
236,Spreestraße,13.6156193,52.4470512
237,Bernhard-Bästlein-Straße,13.4821953,52.5267637
238,Rathaus Lichtenberg,13.4788562,52.5156658
239,S+U Frankfurter Allee,13.4773672,52.513805
240,Zionskirchplatz,13.4056617,52.5345175
241,S+U Schönhauser Allee,13.4135734,52.5493619
242,Richtershorn,13.6248473,52.40105
243,Hirschgarten,13.6006253,52.4518544
244,Westendsiedlung,13.6082856,52.4531061
245,Mühlweg,13.6128781,52.454141
246,Bellevuestraße,13.5942323,52.4530137
247,Wassersportzentrum,13.6090983,52.4490623
248,Hartlebenstraße,13.6319981,52.4566982
249,Altes Wasserwerk,13.6390729,52.4479905
250,Ahornallee,13.6192978,52.4556504
251,S Mahlsdorf,13.6109691,52.5111667
252,Neue Bahnhofstraße,13.46934,52.5066384
253,Neue Bahnhofstraße,13.4697498,52.5064089
254,U Eberswalder Straße/Pappelallee,13.4127866,52.5414648
255,U Eberswalder Straße/Pappelallee,13.4128789,52.5415991
256,Bahnhofstraße/Lindenstraße,13.5728968,52.4515723
257,Scharnweberstraße/Weichselstraße,13.4696737,52.5119866
258,Scharnweberstraße/Weichselstraße,13.4716083,52.5122636
259,U Osloer Straße,13.3732618,52.5566956
260,Wismarplatz,13.4634444,52.510986
261,Wismarplatz,13.4633489,52.5111368
262,Grünberger Straße/Warschauer Straße,13.4522817,52.5120547
263,Revaler Straße,13.4514133,52.5095695
264,Holteistraße,13.465969,52.5088235
265,Holteistraße,13.4666115,52.5083933
266,Holteistraße,13.4658035,52.5080787
267,Anton-Saefkow-Platz,13.4693612,52.5280674
268,Landsberger Allee/Blumberger Damm,13.5703135,52.5457935
269,Prerower Platz,13.5061494,52.5624568
270,Wilhelmsmühlenweg,13.6129594,52.5081863
271,Heinersdorf,13.4374123,52.5727666
272,S Adlershof,13.5408489,52.435251
273,Mollstraße/Otto-Braun-Straße,13.4195215,52.5247689
274,Wasserwerk Friedrichshagen,13.6419956,52.4560563
275,S Hohenschönhausen,13.5138941,52.5665389
276,Björnsonstraße,13.4026821,52.5552883
277,Blockdammweg,13.5104609,52.4842462
278,S Warschauer Straße,13.4504441,52.5078902
279,S Warschauer Straße,13.4505973,52.5080429
280,Stadion Buschallee/Hansastraße,13.4876061,52.5569615
281,Königsseestraße,13.577895,52.4205549
282,S+U Warschauer Straße,13.4486755,52.5050654
283,Loeperplatz,13.4797196,52.5197412
284,S Schöneweide/Sterndamm,13.5094191,52.4541237
285,Wilhelminenhofstraße/Edisonstraße,13.5148805,52.4622508
286,Wilhelminenhofstraße/Edisonstraße,13.5138993,52.4630566
287,Firlstraße,13.520347,52.460978
288,Firlstraße,13.5212276,52.4607897
289,Marktplatz Adlershof,13.546264,52.4372432
290,U Eberswalder Straße,13.4116829,52.5404231
291,U Eberswalder Straße,13.4113879,52.540204
292,Pietschkerstraße,13.5079138,52.4502578
293,S Schöneweide/Sterndamm,13.5093914,52.4531382
294,S Nordbahnhof,13.3875139,52.5325508
295,Monbijouplatz,13.3970747,52.5238986
296,Rathaus Pankow,13.4045701,52.5695371
297,U Vinetastraße,13.4132251,52.5591509
298,Rathaus Pankow,13.4038045,52.5694816
299,Schönhauser Allee/Bornholmer Straße,13.414524,52.5532393
300,U Oranienburger Tor,13.3876417,52.5242398
301,Betriebshof Marzahn,13.5826397,52.5490131
302,Rothenbachstraße,13.4377078,52.5702229
303,Würtzstraße,13.4244231,52.5760936
304,Prenzlauer Allee/Ostseestraße,13.4297695,52.5503132
305,Prenzlauer Allee/Ostseestraße,13.428891,52.5516937
306,Schönhauser Allee/Bornholmer Straße,13.4150001,52.5537181
307,Wühlischstraße/Gärtnerstraße,13.4597503,52.50903
308,Loeperplatz,13.4786003,52.5203563
309,Wendenschloß,13.5885444,52.4169977
310,Betonwerk,13.5717287,52.4306271
311,Betonwerk,13.5716912,52.4309071
312,Friedrich-Wolf-Straße,13.5750827,52.4246225
313,Glienicker Straße,13.5700051,52.4415594
314,Köllnischer Platz,13.5691692,52.4436433
315,Köllnischer Platz,13.569186,52.4438253
316,Lübbenauer Weg,13.634932,52.3912295
317,Marktplatz Adlershof,13.5489367,52.4382203
318,Königsseestraße,13.577967,52.4203842
319,Regattatribünen,13.5884715,52.411217
320,Rosenweg,13.5714309,52.4347036
321,Rosenweg,13.5714816,52.4349601
322,S Grünau,13.5749235,52.4132647
323,Strandbad Grünau,13.604455,52.4086224
324,Vollkropfgraben,13.5714889,52.4386665
325,Vollkropfgraben,13.5714377,52.43886
326,Wassermannstraße,13.5519025,52.4392704
327,Wassermannstraße,13.5526003,52.4395698
328,Weißer See,13.4659602,52.5521773
329,S Adlershof,13.5413836,52.4340207
330,Am Steinberg,13.4333751,52.5585796
331,Prenzlauer Promenade/Am Steinberg,13.4295342,52.5565563
332,Tino-Schwierzina-Straße,13.4348157,52.5622588
333,Am Steinberg,13.4331617,52.5581724
334,Am Wasserturm,13.4358341,52.5648336
335,Weißer See,13.4647134,52.5516265
336,Heinersdorf,13.4371063,52.5725511
337,Greifswalder Straße/Ostseestraße,13.444118,52.5452407
338,Greifswalder Straße/Ostseestraße,13.445119,52.5457311
339,Hugenottenplatz,13.4188658,52.6059135
340,Guyotstraße,13.4160793,52.6052662
341,Navarraplatz,13.4285103,52.6080946
342,Arnouxstraße,13.4235934,52.6071481
343,Betriebshof Weißensee,13.4681718,52.5569649
344,Fröbelstraße,13.4259125,52.542079
345,S Prenzlauer Allee,13.427408,52.5448075
346,Erich-Weinert-Straße,13.4287932,52.5481477
347,S+U Alexanderplatz/Dircksenstraße,13.4120602,52.5213728
348,S+U Alexanderplatz/Dircksenstraße,13.4106594,52.5222588
349,Hufelandstraße,13.4290859,52.5327449
350,Albertinenstraße,13.4580146,52.5498168
351,Buschallee,13.4691966,52.5537598
352,Mollstraße/Prenzlauer Allee,13.4161901,52.526818
353,Betriebshof Weißensee,13.4677089,52.5570138
354,Pasedagplatz,13.4609656,52.5594065
355,S Hackescher Markt,13.4026808,52.5216622
356,S Hackescher Markt,13.4034114,52.5226093
357,U Rosa-Luxemburg-Platz,13.4104123,52.5286105
358,Monbijouplatz,13.3986636,52.5237105
359,U Rosenthaler Platz,13.4019,52.5297422
360,U Weinmeisterstraße/Gipsstraße,13.4035047,52.5253215
361,Husemannstraße,13.4191052,52.5399725
362,Husemannstraße,13.4182043,52.5401347
363,U Eberswalder Straße,13.4128386,52.5409911
364,Wilhelminenhofstraße/Edisonstraße,13.5138972,52.4619526
365,Pappelplatz,13.3947562,52.5322689
366,Schwedter Straße,13.4082376,52.5371529
367,S Hackescher Markt,13.402603,52.5238354
368,U Oranienburger Tor,13.3878498,52.5262067
369,S Oranienburger Straße,13.3923646,52.5250979
370,Georgenstraße/Am Kupfergraben,13.39369,52.5203096
371,Ahrenshooper Straße,13.5016719,52.566363
372,Anna-Ebermann-Straße,13.512077,52.5549343
373,Arnimstraße,13.5150534,52.5585353
374,Prendener Straße,13.5195448,52.5685017
375,Feldtmannstraße,13.4950964,52.5597435
376,Giersstraße,13.4821862,52.5544234
377,Hansastraße/Malchower Weg,13.4992999,52.5612044
378,Rhinstraße/Gärtnerstraße,13.509622,52.5461347
379,S Hohenschönhausen,13.5131802,52.5663088
380,Stadion Buschallee/Hansastraße,13.4869834,52.5566718
381,Welsestraße,13.5251581,52.5692194
382,Zingster Straße/Ribnitzer Straße,13.4971498,52.5703215
383,Alt-Hohenschönhausen,13.5045505,52.5488737
384,Weißer See,13.465843,52.5515946
385,Betriebshof Indira-Gandhi-Straße,13.4687215,52.5442346
386,Gounodstraße,13.467139,52.5484998
387,Hohenschönhauser Straße,13.4729468,52.5359329
388,Landsberger Allee/Weißenseer Weg,13.4764087,52.532769
389,Loeperplatz,13.4801576,52.5202545
390,Loeperplatz,13.4791629,52.5203743
391,Möllendorffstraße/Storkower Straße,13.4795914,52.5238424
392,Rathaus Lichtenberg,13.4792529,52.5161015
393,S+U Frankfurter Allee,13.4775557,52.5139808
394,Sportforum,13.4713825,52.5385243
395,Roederplatz,13.479068,52.5266001
396,Arnswalder Platz,13.437123,52.5342203
397,Bersarinplatz,13.4525257,52.519215
398,Kniprodestraße/Danziger Straße,13.4421124,52.5315225
399,Landsberger Allee/Petersburger Straße,13.4473159,52.5267024
400,Paul-Heyse-Straße,13.4449135,52.5289276
401,Straßmannstraße,13.4503004,52.5224781
402,Masurenstraße,13.4127792,52.5636567
403,S+U Pankow,13.4121641,52.5675692
404,Pankow Kirche,13.4084648,52.5703931
405,Pankow Kirche,13.4103115,52.5706452
406,Karl-Ziegler-Straße,13.5264644,52.4324915
407,Karl-Ziegler-Straße,13.5261627,52.4327229
408,Magnusstraße,13.5301036,52.4297094
409,Magnusstraße,13.5306716,52.4299442
410,S Adlershof,13.5410593,52.4343094
411,S Adlershof,13.5404481,52.4351347
412,Walther-Nernst-Straße,13.5346199,52.4319115
413,Walther-Nernst-Straße,13.5350522,52.4321448
414,Adlergestell/Vetschauer Allee,13.6340226,52.3866039
415,Köllnischer Platz,13.5686306,52.4447272
416,S Spindlersfeld,13.5624076,52.4457149
417,S+U Warschauer Straße,13.4484788,52.5048724
418,Landsberger Allee/Petersburger Straße,13.4457099,52.5257974
419,U Alexanderplatz,13.4143847,52.5219449
420,Am Friedrichshain,13.424138,52.5285131
421,Antonplatz,13.4524061,52.5485959
422,S Greifswalder Straße,13.4385364,52.5408786
423,Thomas-Mann-Straße,13.4410608,52.5430358
424,Sulzfelder Straße,13.4753656,52.5533884
425,Hohenschönhauser Straße,13.4742417,52.5352266
426,Jan-Petersen-Straße,13.5609668,52.5474117
427,Büschingstraße,13.4267728,52.5231328
428,Freizeitforum Marzahn,13.5569071,52.5459306
429,Meeraner Straße,13.5192567,52.5290091
430,Helene-Weigel-Platz,13.5434041,52.5259347
431,Beilsteiner Straße,13.5297264,52.5255039
432,S Springpfuhl,13.5360958,52.525709
433,Allee der Kosmonauten/Rhinstraße,13.5203097,52.5259142
434,Landsberger Allee/Rhinstraße,13.5170344,52.5358377
435,Boschpoler Straße,13.5486679,52.527324
436,Allee der Kosmonauten/Poelchaustraße,13.5520361,52.5339106
437,Zum Seeblick,13.6433356,52.3798516
438,Scharnweberstraße/Weichselstraße,13.4708034,52.5118973
439,Björnsonstraße,13.4030585,52.5544232
440,Osloer Straße/Prinzenallee,13.3832449,52.5559806
441,S Bornholmer Straße,13.3954269,52.5549382
442,Herzbergstraße/Siegfriedstraße,13.4997528,52.5255927
443,Rüdickenstraße,13.5097678,52.5599848
444,Galenusstraße,13.4285911,52.5821303
445,Pankower Straße,13.428851,52.5848774
446,S Pankow-Heinersdorf,13.4281593,52.5777355
447,Marienstraße/Pasewalker Straße,13.4313671,52.5922981
448,Pasewalker Straße/Blankenburger Weg,13.430514,52.5896961
449,Blankenfelder Straße,13.4313576,52.6020283
450,Rosenthaler Straße,13.4326986,52.5956687
451,Französisch Buchholz Kirche,13.4336533,52.6071368
452,Kuckhoffstraße,13.4029654,52.5840207
453,Nordend,13.4023403,52.5901593
454,Schillerstraße,13.4110511,52.5920987
455,Schillerstraße,13.41088,52.5923051
456,Kuckhoffstraße,13.403169,52.5836046
457,Bürgerpark Pankow,13.3984217,52.5714873
458,Bürgerpark Pankow,13.3983316,52.5713805
459,Stiftsweg,13.4156121,52.5727169
460,Am Iderfenngraben,13.3923698,52.5823524
461,Nordendstraße,13.3882789,52.588533
462,Rosenthal Nord,13.3726652,52.598664
463,Angerweg,13.3837136,52.591974
464,Hauptstraße/Friedrich-Engels-Straße,13.3763916,52.5970063
465,Wiesenwinkel,13.3810264,52.594371
466,Libauer Straße,13.4546946,52.5101841
467,Simplonstraße,13.4564928,52.5098432
468,Wühlischstraße/Gärtnerstraße,13.4602181,52.5089435
469,Niederbarnimstraße,13.4573531,52.5129045
470,Fürstenwalder Damm,13.6526972,52.452346
471,Fürstenwalder Damm/Müggelseedamm,13.6629783,52.4496666
472,Hartlebenstraße,13.6333365,52.4566173
473,Licht- und Luftbad Müggelsee,13.6708951,52.4477546
474,Strandbad Müggelsee,13.6774213,52.4458052
475,Wasserwerk Friedrichshagen,13.6415532,52.4561223
476,S+U Friedrichstraße,13.388415,52.5195641
477,S+U Pankow,13.4122949,52.5671025
478,U Vinetastraße,13.413232,52.5596168
479,Bahnhofstraße/Seelenbinderstraße,13.5769303,52.4554632
480,Bersarinplatz,13.4545077,52.5190126
481,Forckenbeckplatz,13.4592788,52.5204601
482,Proskauer Straße,13.4630477,52.5198863
483,James-Hobrecht-Straße,13.4663972,52.5201075
484,Scheffelstraße,13.473873,52.5205517
485,Scheffelstraße,13.474128,52.5204942
486,Oderbruchstraße,13.4614668,52.530501
487,Judith-Auer-Straße,13.4676978,52.5340748
488,Arendsweg,13.5045091,52.5348368
489,Dingelstädter Straße,13.5251461,52.5368454
490,Schalkauer Straße,13.5094071,52.5351151
491,Altenhofer Straße,13.480385,52.534902
492,Oberseestraße,13.4978874,52.5469426
493,Anton-Saefkow-Platz,13.4689825,52.5281596
494,Herzbergstraße/Industriegebiet,13.4897656,52.5265974
495,Kleingartenanlage Bielefeldt,13.5192897,52.5188045
496,S Friedrichsfelde Ost,13.5190234,52.5139753
497,Roederplatz,13.4795986,52.5270931
498,Alt-Friedrichsfelde/Rhinstraße,13.5189315,52.5100917
499,Criegernweg,13.52173,52.5005867
500,Marksburgstraße,13.5269579,52.4867994
501,Treskowallee/HTW,13.5264678,52.4929123
502,U Tierpark,13.5241639,52.4964388
503,Alfred-Kowalke-Straße,13.5198488,52.5056038
504,Virchow-Klinikum,13.3389703,52.5436415
505,Berliner Allee/Rennbahnstraße,13.4656872,52.5573986
506,Berliner Allee/Rennbahnstraße,13.4653844,52.5575657
507,Marzahner Promenade,13.5485317,52.5426977
508,Marzahner Promenade,13.5494306,52.5429307
509,Adersleber Weg,13.5600838,52.5376742
510,Alt-Marzahn,13.5635092,52.5417781
511,Friedrich-Ludwig-Jahn-Sportpark,13.4057883,52.5408998
512,Gedenkstätte Berliner Mauer,13.3905139,52.5357345
513,S Nordbahnhof,13.3875897,52.5323318
514,U Bernauer Straße,13.3964824,52.5384311
515,Wolliner Straße,13.4012039,52.5396897
516,Wolliner Straße,13.4020576,52.5399966
517,U Bernauer Straße,13.3954653,52.5380716
518,Bürgerpark Marzahn,13.5617322,52.550577
519,Max-Herrmann-Straße,13.5658757,52.5540951
520,Betriebshof Marzahn,13.5815651,52.5487647
521,Brodowiner Ring,13.5779591,52.5478226
522,Landsberger Chaussee/Zossener Straße,13.5869065,52.5486256
523,Michendorfer Straße,13.5867347,52.5455926
524,Alte Hellersdorfer Straße/Zossener Straße,13.5920459,52.5448698
525,Zossener Straße/Kastanienallee,13.5982956,52.5440155
526,Stendaler Straße/Zossener Straße,13.6033771,52.5437918
527,Stendaler Straße/Zossener Straße,13.6034175,52.5433448
528,Stendaler Straße/Quedlinburger Straße,13.6042999,52.5394032
529,U Hellersdorf,13.6052636,52.5360594
530,Nossener Straße,13.6084404,52.533407
531,Jenaer Straße,13.6150858,52.5319883
532,Nossener Straße,13.6109001,52.5328615
533,Riesaer Straße/Louis-Lewin-Straße,13.6218539,52.5305657
534,Stahlheimer Straße/Wisbyer Straße,13.425432,52.5525647
535,Barnimplatz,13.574395,52.5679547
