,latitude,longitude,title,type
296,52.570843,13.360635,U Residenzstr.,2
297,52.53690400000001,13.26287,U Rohrdamm,2
298,52.52819100000001,13.410405,U Rosa-Luxemburg-Platz,2
299,52.472462,13.314387,U Rüdesheimer Platz,2
300,52.500759,13.441926,U Schlesisches Tor,2
301,52.461476,13.325139000000002,U Schloßstr.,2
302,52.49317900000001,13.422241,U Schönleinstr.,2
303,52.55047,13.35197,U Seestr.,2
304,52.537026,13.273323,U Siemensdamm,2
305,52.51096999999999,13.297463,U Sophie-Charlotte-Platz,2
306,52.496582,13.330613,U Spichernstr.,2
307,52.451,13.281651,U Freie Universität (Thielplatz),2
308,52.496169,13.343264,U Viktoria-Luise-Platz,2
309,52.525376,13.405304999999998,U Weinmeisterstr.,2
310,52.445802,13.385561,U Westphalweg,2
311,52.537522,13.217625,U Zitadelle,2
312,52.423032,13.484371,U Zwickauer Damm,2
313,52.582593,13.002034,Brieselang,3
314,52.569495,13.051629,Finkenkrug,3
315,52.552903,13.115905,Seegefeld,3
316,52.559659,13.090002,Falkensee,3
317,52.54954,13.128691,Albrechtshof,3
318,52.551917,12.938502,Wustermark,3
319,52.547528,13.000026,Elstal,3
320,52.543653000000006,13.058363,Dallgow-Döberitz,3
321,52.537675,13.141656,Staaken,3
322,52.516451,12.971416,Priort,3
323,52.458871,12.971597,Marquardt,3
324,52.410281,12.972231,Golm,3
325,52.392794,12.926322,Werder (Havel),3
326,52.394697,13.014108,Park Sanssouci,3
327,52.392892,13.036351,Charlottenhof,3
328,52.372487,13.011032,Pirschheide,3
329,52.350333,12.984449,Caputh-Geltow,3
330,52.341001,12.98058,Caputh-Schwielowsee,3
331,52.303494,12.964286,Ferch-Lienewitz,3
332,52.291989,12.985206,Seddin,3
333,52.316347,13.031239,Michendorf,3
334,52.331398,13.067535,Wilhelmshorst,3
335,52.358294,13.098277,Rehbrücke,3
336,52.382605,13.121838,Medienstadt-Babelsberg,3
337,52.323654,13.139962,Saarmund,3
338,52.31727100000001,13.231973000000002,Ludwigsfelde Struveshof,3
339,52.247039,13.259945000000002,Thyrow,3
340,52.298191,13.267114,Ludwigsfelde,3
341,52.271656,13.271656,Birkengrund,3
342,52.35014,13.284489,Großbeeren,3
343,52.388672,13.299721,Teltow,3
344,52.293963,13.430839,Rangsdorf,3
345,52.326602,13.419670000000002,Dahlewitz,3
346,52.264888,13.634887,Zeesen,3
347,52.29998,13.721085,Kablow,3
348,52.299371,13.693298,Zernsdorf,3
349,52.302012,13.652153,Niederlehme,3
350,52.406842,13.824882999999998,Fangschleuse,3
351,52.637248,13.738206,Werneuchen,3
352,52.618332,13.675813,Seefeld (Mark),3
353,52.605167,13.611947,Blumberg,3
354,52.59673100000001,13.592052,Blumberg-Rehhahn,3
355,52.591188,13.5823,Ahrensfelde Nord,3
356,52.580722,13.573305,Ahrensfelde Friedhof,3
357,52.71782,13.636195,Rüdnitz,3
358,52.756064,13.473783,Wandlitzsee,3
359,52.744802,13.465931,Wandlitz,3
360,52.71545,13.433853,Basdorf,3
361,52.679748,13.432288,Schönwalde (Barnim),3
362,52.652154,13.428698,Schönerlinde,3
363,52.775266,13.33679,Schmachtenhagen,3
364,52.755072,13.386485999999998,Wensickendorf,3
365,52.732804,13.403372,Zühlsdorf,3
366,52.772425,13.251635999999998,Sachsenhausen (Nordb),3
367,52.72239,13.114699,Vehlefanz,3
368,52.70425,13.143331,Bärenklau,3
369,52.68485,13.172098000000002,Velten (Mark),3
370,52.672563,13.271223999999998,Hohen Neuendorf West,3
371,0.0,0.0,Nauen,3
372,0.0,0.0,Wismar,3
373,0.0,0.0,Rathenow,3
374,0.0,0.0,Brandenburg,3
375,0.0,0.0,Magdeburg,3
376,0.0,0.0,Dessau,3
377,0.0,0.0,Jüterbog,3
378,0.0,0.0,Lutherstadt Wittenberg / Falkenberg (Elster),3
379,0.0,0.0,Elsterwerda,3
380,0.0,0.0,Wünsdorf-Waldstadt,3
381,0.0,0.0,Senftenberg,3
